Sample Name	Treatment Group	10 hr Timepoint	Medium to High Activation	Medium to High Activation and Pass Morphology Filter
d-08092022_Control_E3_tail1	Control_E3	True	False	False
d-08092022_Control_E3_tail2	Control_E3	True	False	False
d-08192022_Control_E3_tail1	Control_E3	True	False	False
d-08192022_Control_E3_tail2	Control_E3	True	False	False
d-08192022_Control_E3_tail3	Control_E3	True	False	False
d-08192022_Control_E3_tail4	Control_E3	True	False	False
d-08252022_LPS27ugml_10hrs_tail1	LPS27ugml_10hrs	True	True	True
d-08252022_LPS27ugml_10hrs_tail2	LPS27ugml_10hrs	True	True	True
d-08252022_LPS27ugml_10hrs_tail3	LPS27ugml_10hrs	True	True	False
d-08252022_LPS27ugml_10hrs_tail4	LPS27ugml_10hrs	True	True	True
d-08192022_LPS25ugml_10hrs_tail1	LPS25ugml_10hrs	True	True	True
d-08192022_LPS25ugml_10hrs_tail2	LPS25ugml_10hrs	True	True	True
d-08192022_LPS25ugml_10hrs_tail3	LPS25ugml_10hrs	True	True	False
d-08192022_LPS25ugml_10hrs_tail4	LPS25ugml_10hrs	True	True	True
d-08192022_LPS25ugml_10hrs_tail5	LPS25ugml_10hrs	True	True	False
d-08192022_LPS27ugml_10hrs_tail1	LPS27ugml_10hrs	True	True	True
d-08192022_LPS27ugml_10hrs_tail2	LPS27ugml_10hrs	True	True	True
d-08092022_LPS30ugml_4hrs_tail1	LPS30ugml_4hrs	False	True	True
d-08092022_LPS30ugml_4hrs_tail2	LPS30ugml_4hrs	False	True	True
d-08092022_LPS30ugml_4hrs_tail3	LPS30ugml_4hrs	False	True	True
d-08092022_LPS30ugml_4hrs_tail4	LPS30ugml_4hrs	False	True	True
d-08092022_LPS30ugml_10hrs_tail1	LPS30ugml_10hrs	True	True	True
d-08092022_LPS30ugml_10hrs_tail2	LPS30ugml_10hrs	True	True	True
d-08092022_LPS30ugml_10hrs_tail3	LPS30ugml_10hrs	True	True	True
d-08092022_LPS30ugml_10hrs_tail4	LPS30ugml_10hrs	True	True	True
d-08092022_LPS30ugml_10hrs_tail5	LPS30ugml_10hrs	True	True	False
d-08052022_LPS20ugml_10hrs_tail1	LPS20ugml_10hrs	True	False	False
d-08052022_LPS20ugml_10hrs_tail2	LPS20ugml_10hrs	True	False	False
d-08052022_LPS20ugml_10hrs_tail3	LPS20ugml_10hrs	True	False	False
d-08052022_LPS20ugml_10hrs_tail4	LPS20ugml_10hrs	True	False	False
