Label	Centroid	Area (pixels)	0 pixel intensity	1 pixel intensity	2 pixel intensity	4 pixel intensity	5 pixel intensity	6 pixel intensity	8 pixel intensity	9 pixel intensity	10 pixel intensity	0 spot number	1 spot number	2 spot number	4 spot number	5 spot number	6 spot number	8 spot number	9 spot number	10 spot number	0 spot intensity	1 spot intensity	2 spot intensity	4 spot intensity	5 spot intensity	6 spot intensity	8 spot intensity	9 spot intensity	10 spot intensity
1	416.91635117159524,2113.6741021180806	19546	0.1590606773764453	2.2906988642177426	2.5975135577611788	2.3687199426992733	0.05116136293870869	0.7060268085541799	0.0	0.007827688529622429	0.0	0.0	3.0	6.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	33927.0	41360.0	25358.0	0.0	0.0	0.0	0.0	0.0
2	443.73091987466427,1925.803715308863	17872	0.0	0.37572739480752015	0.8262645478961504	4.603681736794987	0.010351387645478962	0.5963518352730528	0.0	0.02736123545210385	0.03939122649955237	0.0	1.0	1.0	8.0	0.0	1.0	0.0	0.0	0.0	0.0	6715.0	6212.0	63214.0	0.0	5704.0	0.0	0.0	0.0
3	477.65632965165673,2282.7154311809686	18832	0.0	0.6343988954970263	0.07981096006796941	6.951465590484282	0.0	0.9410577740016992	0.0	0.02798428207306712	0.01667374681393373	0.0	1.0	0.0	6.0	0.0	1.0	0.0	0.0	0.0	0.0	10200.0	0.0	83586.0	0.0	5735.0	0.0	0.0	0.0
4	517.2856103329088,2167.9244133163543	10994	0.0	0.0	0.7531380753138075	8.093323631071494	0.016281608149899946	0.15235583045297435	0.0	0.0	0.0	0.0	0.0	1.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7498.0	60454.0	0.0	0.0	0.0	0.0	0.0
5	525.3074295922656,1834.5150273224044	19032	0.8479928541403952	0.5088272383354351	0.6122320302648171	7.959174022698613	0.0	0.8452080706179067	0.0	0.0	0.0	1.0	1.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	13242.0	6410.0	0.0	95973.0	0.0	0.0	0.0	0.0	0.0
6	502.39031440162273,2423.6978701825556	19720	0.0	2.2099898580121704	0.0	5.1079107505070995	0.2968052738336714	0.03610547667342799	0.0	0.0	0.0	0.0	3.0	0.0	6.0	1.0	0.0	0.0	0.0	0.0	0.0	39018.0	0.0	64708.0	5257.0	0.0	0.0	0.0	0.0
7	545.3427722982289,2080.5435358998834	9429	7.059497295577474	0.0	0.03955880793297274	3.432813659985152	0.9033831795524446	0.7742072330045604	0.0	0.0	0.02948350832537915	3.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	53607.0	0.0	0.0	23023.0	0.0	0.0	0.0	0.0	0.0
8	535.7048673449033,2020.416816277678	10026	4.875822860562537	0.0	0.0	4.210353081986835	0.8653500897666068	0.15908637542389786	0.0	0.0	0.014861360462796729	1.0	0.0	0.0	4.0	1.0	0.0	0.0	0.0	0.0	31117.0	0.0	0.0	34680.0	6712.0	0.0	0.0	0.0	0.0
9	509.5702029713329,2661.363395410476	14337	0.0	0.0	3.4055241682360324	6.107135383971542	0.0	0.42861128548510846	0.0	0.03508404826672246	0.04094301457766618	0.0	0.0	3.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34963.0	57373.0	0.0	0.0	0.0	0.0	0.0
10	527.9663064208519,2554.1038779402415	15730	0.0	0.7874125874125875	0.5778766687857597	5.283026064844247	0.0	0.7588048315321042	0.0	0.0	0.0	0.0	1.0	1.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	10014.0	9090.0	54724.0	0.0	0.0	0.0	0.0	0.0
11	564.331429144117,2717.5034074964924	9978	0.21737823211064342	1.5144317498496693	2.9427741030266588	4.287231910202445	0.017839246341952296	1.8983764281419122	0.0	0.0	0.013629985969132091	0.0	1.0	3.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	12633.0	21902.0	30991.0	0.0	5617.0	0.0	0.0	0.0
12	556.6187384044526,1564.3198906356802	20482	0.8596816717117469	0.04110926667317645	0.0	4.726784493701787	0.0	1.5452104286690753	0.0	0.0	0.014793477199492236	1.0	0.0	0.0	5.0	0.0	1.0	0.0	0.0	0.0	13219.0	0.0	0.0	57375.0	0.0	7465.0	0.0	0.0	0.0
13	599.8112799643925,1946.8604311057418	15727	0.0	0.0	2.579449354613086	7.3962612068417375	0.011699624848985821	1.0822152985311884	0.029058307369491956	0.0	0.0	0.0	0.0	6.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35403.0	70771.0	0.0	0.0	0.0	0.0	0.0
14	579.703605870021,1694.1612997903565	23850	1.2894339622641509	2.8146331236897275	1.3945911949685534	10.192704402515723	0.7148427672955975	1.4960587002096437	0.0	0.03471698113207547	0.011572327044025157	1.0	2.0	1.0	13.0	1.0	2.0	0.0	0.0	0.0	17278.0	41455.0	14111.0	150380.0	8813.0	13524.0	0.0	0.0	0.0
15	594.328532469746,2262.5195159365944	11734	0.15016192261803307	7.4054031020964715	1.3888699505709903	6.847366626896199	0.015595704789500597	0.09442645304244077	0.0	0.028293846940514743	0.023436168399522755	0.0	3.0	1.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	62217.0	7273.0	48454.0	0.0	0.0	0.0	0.0	0.0
16	611.7916426844711,2488.5472545182456	8687	0.6231149994244273	0.0	1.0079429031886726	13.987682744330609	4.267871532174514	3.931276620237136	0.0	0.0	0.04754230459307011	1.0	0.0	1.0	6.0	2.0	3.0	0.0	0.0	0.0	5413.0	0.0	6892.0	76450.0	23152.0	18978.0	0.0	0.0	0.0
